libelle_departement,Cardiologues,Chirurgiens-dentistes,Dermatologues,Gynécologues médicaux et obstétriciens,Hépato-gastro-entérologues,Médecins généralistes,Neurologues,Ophtalmologues,Pneumologues,Psychiatres
Ain,2.9,44.1,0.9,4.6,1.3,53.4,0.1,3.0,1.0,2.5
Aisne,4.8,42.6,2.3,10.0,1.9,59.9,1.3,3.1,3.1,4.6
Allier,7.5,47.8,1.5,10.8,2.4,66.4,1.5,4.8,1.5,2.7
Alpes-Maritimes,12.0,94.2,7.3,28.3,5.0,101.7,2.6,10.9,4.0,19.6
Alpes-de-Haute-Provence,7.7,48.9,1.8,8.0,2.9,89.5,0.0,4.7,0.6,6.5
Ardennes,3.4,38.4,1.5,8.0,2.3,72.9,0.8,3.4,0.8,3.0
Ardèche,4.7,43.3,1.8,10.9,1.5,66.2,0.6,2.4,2.4,2.7
Ariège,1.9,53.6,0.0,4.4,1.3,82.3,0.6,3.2,2.6,5.1
Aube,4.2,44.4,1.6,11.3,2.9,59.8,1.3,3.5,0.3,1.9
Aude,6.3,57.4,2.9,10.0,2.6,74.8,1.3,5.8,1.8,5.3
Aveyron,5.7,54.2,1.8,3.3,1.8,80.8,0.7,3.6,0.7,5.7
Bas-Rhin,9.3,75.2,5.3,22.0,4.2,98.9,2.4,7.9,2.0,13.3
Bouches-du-Rhône,13.8,76.0,5.7,23.9,4.3,99.3,3.0,8.9,3.3,17.8
Calvados,9.4,41.2,3.9,12.1,2.5,88.0,1.8,5.2,1.4,6.5
Cantal,3.5,46.6,2.1,4.7,3.5,88.4,0.0,2.8,1.4,2.1
Charente,4.9,36.3,2.0,9.7,1.7,58.8,0.9,3.7,2.3,4.0
Charente-Maritime,8.8,57.8,3.1,9.1,2.9,97.0,2.5,5.9,1.9,5.7
Cher,3.0,37.9,2.0,8.5,1.0,46.0,1.0,3.4,1.0,3.0
Corrèze,6.3,47.2,2.5,7.5,2.5,61.0,1.3,5.4,1.7,3.3
